Country,Year,Mission Name,Mission Type,Launch Site,Satellite Type,Budget (in Billion $),Success Rate (%),Technology Used,Environmental Impact,Collaborating Countries,Duration (in Days)
UK,2000,Pre-emptive client-server encoding,Unmanned,Espinozachester,Navigation,0.05,100,Traditional Rocket,Medium,"China, India, Russia",133
USA,2007,Synergistic uniform collaboration,Unmanned,Estradaville,Navigation,50.93,98,Traditional Rocket,High,"Germany, Russia",22
Japan,2020,Operative explicit toolset,Unmanned,Littleberg,Weather,1.43,95,Traditional Rocket,High,"Russia, UK, France",19
India,2019,Multi-channeled intermediate flexibility,Unmanned,Michaelhaven,Communication,2.3,98,AI Navigation,Medium,"USA, Japan, Russia",183
Japan,2023,Distributed dynamic solution,Unmanned,Velazquezville,Spy,0.34,98,Traditional Rocket,Low,China,329
China,2022,Expanded well-modulated intranet,Unmanned,Danielfurt,Spy,0.51,98,Reusable Rocket,High,"Germany, China, India",129
Russia,2024,Automated motivating function,Manned,South Michaelbury,Spy,0.97,90,Reusable Rocket,High,"India, France",352
UK,2024,Self-enabling reciprocal attitude,Unmanned,Joshuaton,Communication,0.36,93,Reusable Rocket,Medium,Japan,117
Germany,2021,Exclusive dynamic pricing structure,Unmanned,Port Cynthia,Research,0.61,99,Traditional Rocket,High,Germany,329
UK,2007,Proactive encompassing projection,Unmanned,South Johnny,Navigation,0.32,93,Solar Propulsion,High,"Germany, China",116
USA,2021,Front-line well-modulated synergy,Unmanned,Pearsonstad,Spy,15.21,99,Traditional Rocket,High,"Germany, USA, France",19
Germany,2022,Intuitive radical monitoring,Unmanned,Williamsbury,Weather,1.14,96,Reusable Rocket,High,"Germany, USA",281
USA,2018,De-engineered empowering array,Unmanned,Woodfort,Communication,22.82,94,Traditional Rocket,Medium,UK,186
Germany,2023,Self-enabling coherent moratorium,Unmanned,South Jennachester,Weather,1.29,95,Solar Propulsion,Medium,"USA, Russia",343
France,2019,Versatile cohesive attitude,Unmanned,East Kim,Navigation,1.65,96,Traditional Rocket,Medium,"USA, Germany, India",11
Germany,2018,Diverse well-modulated capability,Unmanned,Port Jamesfort,Spy,0.44,90,Traditional Rocket,Medium,"China, Japan",285
China,2013,Configurable secondary ability,Unmanned,Lake Matthewborough,Research,0.94,96,Traditional Rocket,Low,USA,207
France,2024,Polarized impactful challenge,Unmanned,Lake Melissaview,Weather,0.72,90,Reusable Rocket,Low,France,162
Russia,2018,Streamlined encompassing capability,Unmanned,Andersonside,Navigation,3.82,91,Traditional Rocket,High,,144
India,2020,Fully-configurable multimedia benchmark,Unmanned,Tammyberg,Spy,2.03,90,Traditional Rocket,Low,"UK, France, India",76
Russia,2001,Pre-emptive clear-thinking analyzer,Unmanned,Craighaven,Navigation,0.53,96,Traditional Rocket,High,"France, Japan",5
France,2010,Re-engineered intermediate algorithm,Unmanned,Charlesville,Research,1.87,99,Traditional Rocket,Medium,UK,77
Germany,2015,Managed methodical flexibility,Unmanned,Kimberlymouth,Weather,5.87,95,Traditional Rocket,High,China,255
USA,2013,Cross-platform tertiary data-warehouse,Unmanned,Meganmouth,Spy,18.33,93,Traditional Rocket,Medium,"Japan, France",75
UK,2010,Open-source 5thgeneration approach,Unmanned,West Brian,Weather,2.29,99,Traditional Rocket,High,"India, Russia, USA",168
Germany,2005,Reverse-engineered bandwidth-monitored info-mediaries,Unmanned,New Gregory,Research,2.28,97,Traditional Rocket,Medium,"China, Russia",356
China,2022,User-friendly next generation success,Unmanned,Robertmouth,Research,4.99,96,Traditional Rocket,Medium,Germany,115
Japan,2018,Multi-lateral responsive open architecture,Unmanned,Lake Debbie,Weather,0.75,93,Traditional Rocket,Low,"Japan, China",297
France,2019,Optional multimedia parallelism,Unmanned,Howardport,Weather,0.09,99,Traditional Rocket,Medium,Russia,189
Germany,2018,Multi-tiered didactic knowledge user,Unmanned,Martinezstad,Communication,2.38,99,Traditional Rocket,Low,UK,76
Japan,2012,Team-oriented solution-oriented methodology,Unmanned,East Blake,Research,3.45,100,Traditional Rocket,Medium,Russia,153
Germany,2011,User-centric encompassing focus group,Unmanned,New Alexandrastad,Weather,2.75,100,Traditional Rocket,Low,France,93
Russia,2020,Focused intermediate leverage,Unmanned,Smithberg,Research,1.84,92,Traditional Rocket,Medium,,278
India,2011,Object-based systematic workforce,Unmanned,West Austintown,Navigation,2.5,94,Traditional Rocket,High,"Germany, Russia, UK",292
China,2005,Sharable foreground data-warehouse,Unmanned,Margaretberg,Weather,2.7,90,Traditional Rocket,High,"China, USA, India",141
UK,2003,Distributed regional policy,Unmanned,Farrelltown,Navigation,0.57,100,Traditional Rocket,High,France,117
China,2006,Organic reciprocal leverage,Unmanned,Jesseland,Navigation,2.62,90,Traditional Rocket,Low,France,119
UK,2024,Enterprise-wide human-resource budgetary management,Unmanned,South Ashleybury,Communication,0.13,99,Traditional Rocket,High,"Germany, USA",32
China,2005,Customizable zero-defect core,Unmanned,West Michaelhaven,Communication,1.3,100,Traditional Rocket,High,Germany,125
India,2023,Monitored full-range toolset,Unmanned,Jacobsburgh,Research,0.53,88,Reusable Rocket,Low,"China, France",262
Russia,2024,Versatile bandwidth-monitored flexibility,Unmanned,New Melinda,Spy,0.82,99,Reusable Rocket,Medium,"France, USA",185
UK,2024,Secured real-time middleware,Unmanned,Port Courtneyburgh,Research,0.31,89,Solar Propulsion,Low,"USA, Japan",135
Germany,2023,Team-oriented full-range migration,Unmanned,Ericaside,Weather,0.91,93,Traditional Rocket,High,UK,103
UK,2024,Devolved well-modulated access,Unmanned,West Dana,Research,0.39,96,Traditional Rocket,Medium,USA,183
China,2010,Future-proofed coherent definition,Unmanned,Rhodesburgh,Research,0.93,92,Traditional Rocket,Medium,"Russia, China",25
UK,2010,Enterprise-wide responsive policy,Unmanned,Allenburgh,Research,1.9,99,Traditional Rocket,Medium,"USA, China, Germany",213
China,2020,Proactive didactic Internet solution,Unmanned,Holmesmouth,Spy,9.87,96,Traditional Rocket,High,Germany,154
USA,2014,Intuitive neutral Graphical User Interface,Unmanned,Chadberg,Communication,18.06,91,Solar Propulsion,High,"Russia, India, Germany",269
UK,2018,Multi-tiered responsive matrices,Unmanned,Lake Sally,Weather,1.25,94,Traditional Rocket,Medium,"UK, USA",244
Russia,2003,Upgradable transitional installation,Unmanned,North Randyfurt,Spy,0.21,93,Traditional Rocket,High,"France, China, India",81
USA,2024,Integrated incremental ability,Unmanned,Alexmouth,Communication,12.18,91,Reusable Rocket,High,"UK, Russia",338
China,2008,Total system-worthy leverage,Unmanned,Melanieville,Spy,0.82,97,Traditional Rocket,High,"Germany, India, China",250
Russia,2020,Enhanced dynamic installation,Unmanned,Port Tiffany,Navigation,1.81,99,Reusable Rocket,Low,"Japan, USA",358
UK,2013,Open-architected dynamic hardware,Unmanned,Jodistad,Weather,4.33,89,Solar Propulsion,Low,"Russia, India, UK",38
Germany,2005,Centralized value-added support,Unmanned,Reedland,Research,2.58,99,Traditional Rocket,Medium,France,123
Japan,2005,Diverse grid-enabled secured line,Unmanned,South Susanville,Communication,1.38,100,Traditional Rocket,Low,"Russia, China, France",269
USA,2019,Ergonomic clear-thinking productivity,Unmanned,Tuckerfort,Communication,14.45,99,Traditional Rocket,Low,"China, USA, Japan",47
USA,2016,Reverse-engineered scalable capacity,Unmanned,Marshburgh,Navigation,43.61,98,Traditional Rocket,Low,UK,225
China,2020,Switchable even-keeled conglomeration,Unmanned,Conradland,Navigation,10.85,91,AI Navigation,Medium,,342
Japan,2022,Streamlined scalable parallelism,Unmanned,Greenhaven,Weather,1.22,97,Solar Propulsion,High,"Russia, India",250
Japan,2006,Innovative systematic workforce,Unmanned,Tylerbury,Navigation,3.11,95,Traditional Rocket,Medium,USA,178
Russia,2019,Pre-emptive composite task-force,Unmanned,South Nicolehaven,Research,3.64,90,Traditional Rocket,Medium,Germany,26
USA,2019,Networked coherent secured line,Manned,Atkinsfurt,Spy,19.29,91,Traditional Rocket,Medium,Russia,318
Japan,2001,Assimilated foreground firmware,Unmanned,Bowersborough,Spy,1.95,92,Traditional Rocket,High,India,325
Japan,2016,Proactive well-modulated ability,Unmanned,East Margaret,Weather,2.17,98,Traditional Rocket,High,"France, Japan",234
Russia,2019,Configurable solution-oriented policy,Unmanned,Newmanfort,Navigation,1.17,91,Solar Propulsion,Medium,"USA, UK",271
Japan,2023,Down-sized static infrastructure,Unmanned,Kellershire,Research,0.71,92,Reusable Rocket,Low,Germany,16
China,2006,Digitized multi-state neural-net,Unmanned,Edwardsmouth,Communication,0.59,99,Traditional Rocket,High,"UK, Japan, USA",77
UK,2018,Phased optimizing matrix,Unmanned,Lake Hectorchester,Weather,1.6,98,Traditional Rocket,Low,"Japan, India, USA",6
USA,2023,Open-architected incremental pricing structure,Unmanned,New Jacob,Weather,4.17,99,Traditional Rocket,High,"Japan, France",98
Russia,2019,Centralized holistic open architecture,Unmanned,New Toddmouth,Spy,0.41,96,Solar Propulsion,Low,,199
Russia,2018,Down-sized explicit focus group,Unmanned,Garrettfurt,Research,1.38,97,Traditional Rocket,High,"UK, Germany, India",324
France,2007,Fully-configurable client-server structure,Unmanned,New Michaelberg,Research,7.54,90,Traditional Rocket,Low,France,99
USA,2014,Public-key heuristic extranet,Unmanned,New Kyle,Communication,33.62,93,Traditional Rocket,High,"France, Germany, China",242
India,2019,Profit-focused bottom-line artificial intelligence,Unmanned,Cartershire,Research,2.66,94,Reusable Rocket,Low,UK,166
India,2013,Decentralized client-server installation,Unmanned,Amyburgh,Weather,2.8,92,Traditional Rocket,Medium,Germany,51
Germany,2002,Team-oriented interactive benchmark,Unmanned,North Lisaburgh,Weather,2.11,97,Traditional Rocket,High,UK,351
USA,2005,User-friendly foreground conglomeration,Unmanned,Debbiefort,Communication,9.7,96,Traditional Rocket,High,"China, Japan",141
Russia,2023,Ameliorated object-oriented approach,Unmanned,Crawfordland,Navigation,0.34,90,Reusable Rocket,Medium,Japan,322
UK,2020,Visionary foreground secured line,Unmanned,Lake Markberg,Weather,0.85,97,Traditional Rocket,High,"India, France, Russia",127
France,2023,Operative 24hour attitude,Unmanned,East Deniseport,Communication,0.08,94,Reusable Rocket,High,"France, India, Germany",179
USA,2009,Assimilated reciprocal help-desk,Unmanned,Lake Jessica,Research,28.22,93,Traditional Rocket,High,UK,154
Germany,2021,Cross-platform bifurcated service-desk,Unmanned,Clarkmouth,Research,0.44,95,Traditional Rocket,Low,"France, USA",338
USA,2008,Virtual cohesive moderator,Unmanned,Lake Davidmouth,Communication,48.99,92,Traditional Rocket,High,"UK, Japan, India",241
Russia,2018,Profound optimizing paradigm,Unmanned,Michelebury,Weather,2.54,93,Reusable Rocket,High,,317
USA,2012,Triple-buffered secondary archive,Unmanned,South Danielletown,Spy,1.08,100,Traditional Rocket,High,India,261
Russia,2022,Diverse 24hour paradigm,Unmanned,New Kevinmouth,Spy,1.27,97,Reusable Rocket,Medium,"USA, France, UK",280
Germany,2023,Ameliorated bi-directional pricing structure,Unmanned,Johnsonfort,Spy,1.43,99,Reusable Rocket,Low,India,10
Germany,2017,Expanded 6thgeneration project,Unmanned,Johnsontown,Research,0.85,91,Traditional Rocket,Low,"France, Japan, China",56
Germany,2000,User-friendly next generation infrastructure,Unmanned,Port Ashley,Research,1.13,90,Traditional Rocket,Medium,"Japan, India",276
France,2020,Multi-channeled upward-trending neural-net,Unmanned,West Michael,Research,4.04,98,Traditional Rocket,High,UK,191
USA,2018,Grass-roots 4thgeneration artificial intelligence,Unmanned,Michelleview,Research,30.19,93,Solar Propulsion,Low,"Japan, Germany, France",104
China,2023,Reactive contextually-based policy,Unmanned,Lake Jeffreyfurt,Weather,4.27,95,Reusable Rocket,High,India,21
USA,2006,Universal empowering service-desk,Unmanned,New Taylormouth,Communication,49.27,99,Traditional Rocket,High,"China, Germany, France",180
Russia,2020,Persistent multi-tasking matrices,Unmanned,Anneton,Navigation,0.7,94,Solar Propulsion,Low,India,91
India,2010,Extended 5thgeneration algorithm,Unmanned,East Donaldchester,Weather,0.92,92,Traditional Rocket,Low,,346
France,2017,Persevering transitional architecture,Unmanned,New Julie,Spy,2.73,93,Traditional Rocket,High,"India, Russia",246
USA,2020,Right-sized tangible groupware,Unmanned,East Cindy,Spy,5.85,94,Traditional Rocket,High,India,328
USA,2013,Horizontal demand-driven implementation,Unmanned,Currychester,Communication,7.64,91,Solar Propulsion,High,"USA, Japan, UK",119
Russia,2022,Quality-focused local capacity,Unmanned,East Jackie,Weather,0.98,89,Traditional Rocket,High,USA,251
Japan,2011,Progressive 3rdgeneration leverage,Unmanned,East Patricia,Research,5.3,96,Traditional Rocket,Low,"Russia, China",338
France,2016,Team-oriented system-worthy encoding,Unmanned,Ashleyside,Communication,2.57,94,Traditional Rocket,High,Germany,326
France,2023,Innovative reciprocal neural-net,Unmanned,Port Amyshire,Communication,1.52,94,Reusable Rocket,Low,"India, China",358
UK,2009,Self-enabling global budgetary management,Unmanned,West Kara,Spy,2.33,93,Traditional Rocket,Medium,"Japan, India, France",322
China,2009,Re-engineered dynamic migration,Unmanned,Port Jenniferburgh,Navigation,1.71,94,Traditional Rocket,Medium,,177
USA,2024,Implemented content-based info-mediaries,Unmanned,South Kimberly,Communication,6.59,91,Reusable Rocket,Medium,,339
India,2013,Realigned asymmetric methodology,Unmanned,South Laura,Research,0.8,99,Traditional Rocket,High,USA,164
India,2014,Advanced exuding product,Unmanned,East Michael,Weather,0.32,94,Traditional Rocket,Medium,France,4
Russia,2020,Business-focused systemic productivity,Unmanned,Port Williamshire,Communication,1.97,86,Traditional Rocket,High,Japan,69
Japan,2023,Automated fault-tolerant core,Unmanned,Davidshire,Research,0.99,93,Reusable Rocket,Medium,USA,306
Japan,2024,Multi-layered directional circuit,Unmanned,Alecfurt,Spy,0.84,95,Reusable Rocket,Low,"Japan, USA",360
France,2013,Ergonomic reciprocal algorithm,Unmanned,Harrisport,Navigation,4.56,92,Traditional Rocket,Low,"Germany, India",265
Germany,2005,Versatile zero administration circuit,Unmanned,Campbellstad,Weather,3.56,96,Traditional Rocket,High,France,67
Japan,2021,Ameliorated human-resource data-warehouse,Unmanned,New Lauraburgh,Research,1.14,96,Solar Propulsion,Low,India,180
China,2003,Fundamental disintermediate website,Unmanned,Mooreville,Communication,1.62,92,Traditional Rocket,Medium,"Germany, India",292
UK,2020,Managed content-based flexibility,Unmanned,Suzanneshire,Weather,1.7,94,Traditional Rocket,Low,USA,271
UK,2010,Virtual multimedia open architecture,Unmanned,Benjaminburgh,Communication,0.63,93,AI Navigation,Low,"France, UK, Japan",212
Japan,2010,Intuitive homogeneous project,Unmanned,West Rachelview,Navigation,4.37,95,Traditional Rocket,High,China,21
USA,2022,Object-based incremental database,Unmanned,Lawrencechester,Communication,18.39,94,Reusable Rocket,Medium,"China, Japan",106
USA,2003,Multi-channeled even-keeled interface,Unmanned,Andradehaven,Spy,57.03,91,Traditional Rocket,High,Japan,231
UK,2020,Reduced demand-driven challenge,Unmanned,New Lydia,Weather,2.8,91,Traditional Rocket,Low,"India, Russia, Germany",92
UK,2023,Compatible client-driven customer loyalty,Unmanned,Susanberg,Research,0.7,97,Traditional Rocket,Medium,India,128
UK,2019,Devolved multimedia framework,Unmanned,New Lisamouth,Communication,0.16,97,Traditional Rocket,Low,"Germany, Japan",216
UK,2023,Decentralized needs-based application,Unmanned,Port Cameron,Research,0.05,92,Traditional Rocket,High,Germany,311
China,2017,Expanded actuating moratorium,Unmanned,South Courtneymouth,Communication,5.12,97,Traditional Rocket,High,"USA, France",145
Russia,2003,Exclusive asynchronous archive,Unmanned,Brendaville,Weather,0.38,87,Traditional Rocket,Low,"USA, Germany",276
Japan,2000,Upgradable scalable leverage,Unmanned,West Alexandriabury,Navigation,1.92,93,Traditional Rocket,Low,China,292
Japan,2000,Innovative encompassing data-warehouse,Unmanned,North Benjaminfort,Research,1.92,97,Traditional Rocket,Low,"China, Germany, Russia",40
USA,2015,Realigned fresh-thinking instruction set,Unmanned,Markborough,Communication,0.97,94,Traditional Rocket,Medium,India,260
Japan,2019,Total tertiary middleware,Unmanned,Candaceberg,Spy,0.87,95,Solar Propulsion,Medium,USA,270
China,2017,Persistent well-modulated hub,Unmanned,Tinamouth,Navigation,1.66,98,Traditional Rocket,Low,"Russia, France",26
China,2000,Configurable homogeneous product,Unmanned,Gilberthaven,Spy,0.6,96,Traditional Rocket,Low,USA,179
USA,2020,Switchable tangible access,Unmanned,West Beverlytown,Communication,13.37,100,Reusable Rocket,Medium,India,324
USA,2000,Right-sized methodical policy,Unmanned,Thomaston,Communication,38.22,100,Traditional Rocket,Medium,France,22
China,2012,Networked fresh-thinking frame,Unmanned,North Brian,Weather,0.89,91,Traditional Rocket,Medium,Japan,243
USA,2024,Enterprise-wide user-facing throughput,Unmanned,Newtonhaven,Spy,3.63,98,Traditional Rocket,Low,UK,215
UK,2023,Programmable reciprocal system engine,Unmanned,West Kimville,Communication,0.53,89,Traditional Rocket,High,"Germany, India",314
UK,2018,Business-focused bifurcated encryption,Unmanned,Grimesstad,Communication,1.3,88,Traditional Rocket,Low,"USA, Japan, India",158
France,2019,Operative encompassing application,Unmanned,Dianeborough,Navigation,1.07,92,Reusable Rocket,High,,138
USA,2020,Public-key 24/7 algorithm,Unmanned,Timothychester,Research,3.49,91,Reusable Rocket,Low,"Germany, Russia, France",255
France,2022,Fundamental content-based frame,Unmanned,Melissatown,Weather,0.94,96,Reusable Rocket,High,"Germany, Russia",347
Japan,2022,Integrated encompassing installation,Unmanned,New Michael,Research,1.16,97,Reusable Rocket,Medium,France,330
Russia,2023,Grass-roots multimedia knowledgebase,Unmanned,Garcialand,Spy,0.96,98,Traditional Rocket,Medium,,158
China,2008,Self-enabling homogeneous matrix,Unmanned,South Kathrynberg,Navigation,2.8,98,Traditional Rocket,High,China,11
India,2021,Cross-group local software,Unmanned,Rachelborough,Communication,0.95,89,Reusable Rocket,Very High,Japan,286
France,2015,Customer-focused multi-state installation,Unmanned,Lopezfort,Research,3.17,91,Traditional Rocket,Medium,"UK, India, Germany",214
France,2017,Reduced content-based standardization,Unmanned,Lake Davidtown,Research,1.05,92,Traditional Rocket,Low,"India, Russia",238
India,2007,Team-oriented transitional installation,Unmanned,Erinbury,Weather,1.4,91,Traditional Rocket,Medium,Japan,232
China,2016,Secured maximized product,Unmanned,Sydneytown,Communication,1.75,97,Traditional Rocket,Medium,USA,333
Russia,2019,Open-architected bottom-line concept,Unmanned,Gonzalezfurt,Weather,2.42,90,Reusable Rocket,High,Japan,257
India,2024,Organic incremental synergy,Unmanned,Port Kylefurt,Research,0.11,94,Reusable Rocket,Medium,,188
Japan,2002,Mandatory needs-based leverage,Unmanned,West Victoria,Weather,3.33,93,Traditional Rocket,Low,China,184
China,2009,Upgradable optimal info-mediaries,Unmanned,Toniborough,Weather,3.76,94,Traditional Rocket,High,"UK, Russia, India",301
Russia,2009,Customizable systemic secured line,Unmanned,West Kaylashire,Weather,5.57,95,Traditional Rocket,High,"India, Germany",34
China,2019,Distributed well-modulated encryption,Unmanned,Port Shirleyberg,Spy,5.43,96,Reusable Rocket,High,"Russia, India, USA",12
Japan,2024,Function-based 6thgeneration productivity,Unmanned,South Lisaland,Communication,0.14,95,Reusable Rocket,Medium,"UK, Germany",363
UK,2024,Synchronized optimal website,Unmanned,Kirbyside,Communication,0.65,96,Traditional Rocket,Low,"UK, France, USA",1
India,2010,Stand-alone 24hour intranet,Unmanned,Port David,Navigation,0.29,88,Traditional Rocket,Low,,145
USA,2019,Re-contextualized impactful circuit,Unmanned,Nealburgh,Spy,20.83,96,Reusable Rocket,High,USA,147
Japan,2011,Business-focused fault-tolerant model,Unmanned,Longborough,Communication,3.54,96,Traditional Rocket,High,"Japan, France",156
France,2000,Down-sized bottom-line policy,Unmanned,Lisaburgh,Navigation,0.19,98,Traditional Rocket,Medium,India,209
China,2005,Exclusive composite website,Unmanned,South Ashley,Spy,2.84,91,Traditional Rocket,Medium,"UK, Germany, India",157
India,2009,Streamlined multimedia concept,Unmanned,Lake Connieville,Communication,1.85,99,Traditional Rocket,Medium,France,282
Russia,2019,Innovative next generation standardization,Unmanned,East Andre,Spy,1.87,88,Solar Propulsion,High,UK,248
India,2019,Assimilated interactive synergy,Unmanned,Michaeltown,Research,1.72,89,Traditional Rocket,Medium,China,1
Russia,2006,Quality-focused clear-thinking secured line,Unmanned,North Jasonshire,Navigation,1.54,91,Traditional Rocket,High,USA,131
USA,2019,Programmable real-time alliance,Unmanned,Lake George,Weather,6.33,94,Traditional Rocket,High,China,262
USA,2020,Self-enabling global firmware,Unmanned,Jessicamouth,Spy,13.77,95,Traditional Rocket,Medium,China,337
China,2018,De-engineered incremental moratorium,Unmanned,Jadeton,Spy,3.19,98,Traditional Rocket,Low,Japan,260
Russia,2005,Managed tangible attitude,Unmanned,New Christopher,Spy,0.68,91,Traditional Rocket,High,,1
China,2003,Up-sized uniform hardware,Unmanned,South Margaretland,Weather,1.73,95,Traditional Rocket,Medium,Germany,234
China,2018,Innovative demand-driven parallelism,Unmanned,South Kevin,Weather,3.81,94,Traditional Rocket,Low,"Japan, Russia",293
USA,2017,Streamlined transitional firmware,Unmanned,Coxbury,Spy,1.63,96,Traditional Rocket,High,USA,175
France,2019,Optional cohesive project,Unmanned,New Stephanieberg,Weather,0.23,95,Traditional Rocket,High,USA,54
USA,2001,Implemented human-resource focus group,Unmanned,Nathanfurt,Communication,17.03,97,Traditional Rocket,Medium,"UK, France",146
UK,2019,Future-proofed attitude-oriented customer loyalty,Unmanned,Gwendolynchester,Research,1.38,99,Traditional Rocket,Medium,"Russia, France",137
UK,2012,Organic clear-thinking service-desk,Unmanned,New Steven,Research,1.15,92,Traditional Rocket,Low,"Russia, China",351
China,2023,Ameliorated dedicated collaboration,Unmanned,North Charles,Communication,7.5,93,Reusable Rocket,High,"China, Germany",155
UK,2004,Profound asymmetric encryption,Unmanned,Smithfort,Communication,1.57,99,Traditional Rocket,High,China,178
UK,2013,Assimilated zero-defect protocol,Unmanned,New Williamstad,Weather,1.36,96,Traditional Rocket,High,"Russia, Germany",177
Russia,2001,Proactive value-added utilization,Unmanned,Brownchester,Navigation,0.91,97,Traditional Rocket,Medium,"Russia, India",119
UK,2023,Expanded directional task-force,Unmanned,North Angelica,Research,0.6,94,Traditional Rocket,Medium,"Germany, India",181
India,2023,Re-contextualized heuristic ability,Unmanned,Wardview,Communication,0.1,90,Traditional Rocket,Low,UK,30
UK,2024,Advanced optimal installation,Unmanned,Stoneshire,Communication,0.23,92,Traditional Rocket,High,India,328
Germany,2013,Quality-focused fault-tolerant superstructure,Unmanned,Port Jessica,Research,4.58,91,Traditional Rocket,High,,192
Germany,2024,Centralized hybrid alliance,Unmanned,Amychester,Weather,0.39,100,Traditional Rocket,Low,,102
Russia,2008,Reduced asynchronous hub,Unmanned,South Williamborough,Spy,0.77,88,Traditional Rocket,Low,Japan,199
Japan,2020,Synergized exuding hierarchy,Unmanned,Leeview,Navigation,0.76,98,Reusable Rocket,High,UK,194
India,2011,User-centric secondary utilization,Unmanned,West Lauren,Research,0.18,95,Traditional Rocket,High,USA,273
France,2021,Stand-alone human-resource policy,Unmanned,East Alexis,Spy,1.38,99,Traditional Rocket,Low,India,47
USA,2011,Integrated local contingency,Manned,North Sabrina,Weather,12.51,94,Solar Propulsion,High,India,362
UK,2015,Self-enabling mobile interface,Unmanned,Hardingchester,Weather,1.54,94,Traditional Rocket,Medium,Germany,88
Japan,2017,Programmable full-range attitude,Unmanned,Adamshaven,Navigation,1.02,98,Traditional Rocket,Low,France,136
UK,2024,Automated heuristic flexibility,Unmanned,East Kyle,Communication,0.05,98,Traditional Rocket,Medium,"USA, China",358
Japan,2015,Operative optimal budgetary management,Unmanned,Millermouth,Research,3.91,99,Traditional Rocket,Low,Russia,227
India,2010,Proactive systemic support,Unmanned,Turnerland,Spy,1.22,89,Traditional Rocket,Low,"Russia, Japan, USA",82
Russia,2013,Digitized full-range knowledgebase,Unmanned,New Rodneyfurt,Research,13.66,95,Traditional Rocket,High,"Russia, Japan",167
France,2002,Organic encompassing complexity,Unmanned,South Sheila,Weather,0.35,95,Traditional Rocket,Medium,"France, Russia",172
UK,2024,Automated needs-based open architecture,Unmanned,New Veronica,Communication,0.16,99,Reusable Rocket,Low,France,51
Germany,2011,Total discrete website,Unmanned,South Brian,Research,0.78,98,Traditional Rocket,Low,"France, USA",215
Russia,2024,Networked next generation matrix,Unmanned,Staffordton,Research,0.55,98,Traditional Rocket,High,Japan,64
Russia,2023,Streamlined zero tolerance moratorium,Unmanned,Port Mandy,Weather,1.24,86,Traditional Rocket,High,,299
Japan,2000,Switchable system-worthy neural-net,Unmanned,New Alexander,Communication,1.91,94,Traditional Rocket,Low,Germany,122
USA,2011,Reverse-engineered non-volatile installation,Unmanned,Sierramouth,Spy,10.04,93,Traditional Rocket,Low,France,166
France,2023,Programmable zero tolerance hub,Unmanned,Jillmouth,Communication,1.27,96,Reusable Rocket,Low,"China, France",149
Russia,2002,Ergonomic web-enabled infrastructure,Unmanned,Simmonsfurt,Spy,1.4,94,Traditional Rocket,Low,USA,40
China,2009,Automated non-volatile Local Area Network,Unmanned,New Randy,Spy,0.96,98,Traditional Rocket,High,"Japan, UK",244
India,2015,Operative static hierarchy,Unmanned,Spencerview,Communication,0.04,99,Traditional Rocket,Medium,"UK, France, India",124
Japan,2024,Fundamental encompassing database,Unmanned,North Shannonburgh,Spy,0.44,100,Reusable Rocket,High,"Japan, Germany, China",287
USA,2016,Profound mission-critical implementation,Unmanned,East Waynemouth,Navigation,30.76,99,Traditional Rocket,High,"Germany, USA",295
India,2015,Devolved zero administration artificial intelligence,Unmanned,Sarashire,Communication,1.07,98,Traditional Rocket,Low,,125
France,2010,De-engineered uniform solution,Unmanned,Beckerton,Research,2.37,95,Traditional Rocket,Low,"USA, China",172
India,2023,Persistent intermediate success,Unmanned,Smithside,Spy,0.18,96,Traditional Rocket,High,France,175
China,2007,Reduced analyzing productivity,Unmanned,Debraton,Communication,4.15,90,Traditional Rocket,Low,Japan,251
UK,2021,User-friendly asynchronous extranet,Unmanned,Kennethfort,Communication,1.33,95,Traditional Rocket,High,France,339
China,2024,Distributed well-modulated benchmark,Unmanned,Wilsonbury,Spy,3.43,99,Traditional Rocket,High,Japan,250
Japan,2001,Up-sized zero tolerance info-mediaries,Unmanned,South Anthony,Weather,1.48,95,Traditional Rocket,Low,Germany,149
India,2024,Profound zero tolerance toolset,Unmanned,Port Heathertown,Communication,0.21,96,Traditional Rocket,Low,"Japan, USA, France",139
Germany,2001,Reactive homogeneous algorithm,Unmanned,Brennanhaven,Research,11.17,90,Traditional Rocket,Medium,China,356
UK,2013,Multi-tiered empowering hub,Unmanned,Jackburgh,Weather,1.07,90,Traditional Rocket,High,"UK, USA",356
China,2003,Customer-focused 24/7 standardization,Unmanned,North Kellyfurt,Weather,2.34,93,Traditional Rocket,High,China,145
India,2010,Versatile tertiary paradigm,Unmanned,Port Robert,Weather,1.73,95,Traditional Rocket,Medium,"France, USA",350
UK,2020,Horizontal clear-thinking access,Unmanned,Anthonyfurt,Weather,0.9,89,Traditional Rocket,High,Japan,307
France,2017,Front-line empowering Internet solution,Unmanned,Port Kyleburgh,Spy,2.69,98,Traditional Rocket,Medium,Japan,70
Germany,2024,Operative local flexibility,Unmanned,West Lisa,Weather,0.11,94,Reusable Rocket,Medium,Russia,66
Japan,2007,Right-sized eco-centric service-desk,Unmanned,Wrighttown,Navigation,6.41,94,Traditional Rocket,Low,Germany,50
USA,2013,User-friendly explicit neural-net,Unmanned,Savageland,Communication,29.35,96,Traditional Rocket,Medium,"Russia, France",143
India,2008,Future-proofed global synergy,Unmanned,Palmerbury,Spy,0.65,95,Solar Propulsion,Medium,France,160
